# <Transmitter Set: Tx: 105 X - Point 1>
# <Receiver Set: Rx: 106 Y - Point 1>
# <Path Id>,<Source Id>,<Received Power (W)>,<Phase (radians)>,<Time of Arrival (s)>
1,1,0.00120891,2.28957,1.52284e-08
4.81845e+07,2,1.69286e-15,-1.54308,6.14813e-05
4.70971e+06,3,2.09881e-16,0.0639997,5.18291e-05
4.74016e+07,4,1.89484e-16,1.00738,6.14813e-05
915537,5,7.93932e-17,2.65126,5.18302e-05
8.4688e+07,6,2.79445e-18,-2.44937,6.14815e-05
4.73878e+07,7,5.50634e-19,2.17647,6.14823e-05
4.66875e+06,8,1.36472e-19,3.12015,5.2245e-05
4.6825e+06,9,8.60871e-20,-2.14101,4.57486e-05
321969,10,1.40529e-21,-1.57219,5.1827e-05
8.83597e+08,11,6.68732e-23,-1.20719,6.17411e-05
4.61771e+06,12,1.85203e-24,-0.985646,4.69756e-05
2.95606e+06,13,8.06045e-25,1.64968,5.73128e-05
344977,14,1.15389e-25,-0.943476,5.41745e-05
